index,name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
3645280,"Команда разработчиков (Java,PHP, С++, Spring,Python, kotlin, React, Oracle, Postgre, IOS, Android)","Python
JavaScript
C++
Linux
Java",100000.0,250000.0,RUR,Новосибирск,2020-09-22T05:51:39+0300
3645286,"Разработчики (Android,iOS) в режиме удаленного доступа","Java
Android
Java SE
Android SDK
iOS
Java ∙ Kotlin ∙ Dagger 2 ∙ RxJava 2",100000.0,200000.0,RUR,Новосибирск,2020-09-22T06:18:02+0300
3647472,Руководитель команды Android и iOS разработчиков,"Управление проектами
Мотивация персонала
Android
iOS
SQL",80000.0,100000.0,RUR,Новосибирск,2020-09-22T17:08:25+0300
3647618,IOs разработчик,"Умение работать в коллективе
Умение планировать",250000.0,300000.0,RUR,Москва,2020-09-22T17:48:31+0300
3648086,"Разработчик (Android,iOS) в режиме удаленного доступа","Java
Android
Java SE
Android SDK
iOS
Java ∙ Kotlin ∙ Dagger 2 ∙ RxJava 2",100000.0,200000.0,RUR,Новосибирск,2020-09-23T08:16:11+0300
3648314,Senior IOS-разработчик,"Swift
RxSwift
Dependency Injection",200000.0,250000.0,RUR,Москва,2020-09-23T09:51:36+0300
3648636,IOS разработчик,"iOS
Xcode
Git
Atlassian Jira
Objective-C
SWIFT Alliance
SQL
Atlassian Confluence",180000.0,250000.0,RUR,Санкт-Петербург,2020-09-23T11:01:46+0300
3649172,Middle/Senior IOS программист,"Swift
VIPER
iOS",145000.0,250000.0,RUR,Москва,2020-09-23T12:38:46+0300
3649179,IOS разработчик,"Git
Английский язык
REST
JSON API
iOS
Design Patterns
swift",60000.0,120000.0,RUR,Иваново (Ивановская область),2020-09-23T12:41:19+0300
3650162,"IOS developer (Swift, удаленно)",iOS,120000.0,170000.0,RUR,Санкт-Петербург,2020-09-23T16:35:52+0300
3650179,IOS developer (Swift),iOS,120000.0,170000.0,RUR,Санкт-Петербург,2020-09-23T16:41:59+0300
3650983,IOS Engineer (ARKit),"iOS
Git
C++
Objective-C
ARKit
Swift",2000.0,3000.0,USD,Москва,2020-09-24T09:11:33+0300
3654188,IOS разработчик,"Swift
C/C++
Storyboard
CoreData
Moya
iOS",70000.0,150000.0,RUR,Новосибирск,2020-09-25T12:13:17+0300
3654210,IOS разработчик junior (возможно удаленно),"iOS
swift4",30000.0,50000.0,RUR,Москва,2020-09-25T12:22:16+0300
3654526,IOS разработчик,"Objective-C
Alamofire
CoreData
CoreAnimation
Foundation
UIKit
Swift+",120000.0,200000.0,RUR,Москва,2020-09-25T14:10:05+0300
3655516,"IT специалист по созданию приложений (Android, iOS), сайтов","Веб-программирование
JavaScript
Adobe Photoshop
Веб-дизайн
Администрирование сайтов
SEO
iOS
Создание сайтов
Работа в команде
Управление проектами
CMS Wordpress
Adobe InDesign
Python",150000.0,1000000.0,KZT,Алматы,2020-09-25T19:04:58+0300
3656882,IOS разработчик,"iOS
MVP
MVVM
swift
Objective-C",120000.0,250000.0,RUR,Москва,2020-09-28T11:32:03+0300
3658056,Developer Kiosk WPF,"ASP.NET
JavaScript
CSS
Entity Framework
C#",2200.0,2700.0,USD,Минск,2020-09-28T16:06:25+0300
3658751,Старший разработчик под iOS (Swift),"iOS
Swift
Objective-C
ООП
Git
iOS SDK
JIRA
Rx
Unit Testing",150000.0,240000.0,RUR,Санкт-Петербург,2020-09-28T20:39:15+0300
3658755,Разработчик под iOS (Swift),"iOS
Swift
Objective-C
ООП
Git
iOS SDK
JIRA
Rx
Unit Testing",90000.0,150000.0,RUR,Санкт-Петербург,2020-09-28T20:39:43+0300
3661353,IOS-разработчик (Middle) для приложения видеоредактора,"iOS
ООП",60000.0,140000.0,RUR,Минск,2020-09-30T07:14:35+0300
3661757,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Владимир,2020-09-30T10:30:37+0300
3661759,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Белгород,2020-09-30T10:31:36+0300
3661762,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Нижний Новгород,2020-09-30T10:32:12+0300
3661766,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Ижевск,2020-09-30T10:32:38+0300
3662075,IOS-разработчик (Obj-c / Swift),"Objective-C
Git
iOS
ООП
SWIFT",170000.0,250000.0,RUR,Санкт-Петербург,2020-09-30T11:43:11+0300
3664459,Middle iOS Developer,"Git
Atlassian Jira
Atlassian Confluence
Objective-C
ООП
iOS
Swift",180000.0,250000.0,RUR,Москва,2020-10-01T12:11:54+0300
3664758,Программист ios,"Android
Git
Android SDK
iOS
ООП",25000.0,40000.0,RUR,Челябинск,2020-10-01T13:47:10+0300
3665058,Middle IOS разработчик в (Pillikan),"Objective-C
MVC
C++
Разработка технических заданий
iOS
iOS swift
SWIFT
swift",250000.0,500000.0,KZT,Шымкент,2020-10-01T14:51:24+0300
3665153,Mobile Developer Android/iOS ready (Sweden),"Git
Java
Design Patterns
Android
iOS
Swift
Kotlin",4000.0,4500.0,EUR,Швеция,2020-10-01T15:18:39+0300
3668167,IOS разработчик (Swift),"Objective-C
iOS
C/C++
AR Kit
AR
Swift",120000.0,170000.0,RUR,Москва,2020-10-03T11:21:45+0300
3668684,Senior iOS Developer,"ООП
SWIFT
iOS SDK
MVP
MVVM",170000.0,230000.0,RUR,Новосибирск,2020-10-05T08:16:54+0300
3669092,IOS-разработчик (Middle/Senior) удаленно для видео-редактора,"ООП
iOS
Xcode
Core Image
Core Graphics",60000.0,180000.0,RUR,Волгоград,2020-10-05T10:17:10+0300
3669436,Android - IOS разработчик,"iOS
Android",80000.0,150000.0,RUR,Москва,2020-10-05T11:30:49+0300
3672708,IOS developer,"Git
Design Patterns
iOS
MVC
SVN
Swift
MVP
MVVM
WebSocket
Unit/UI-тесты
VoIP",50000.0,65000.0,UAH,Киев,2020-10-06T10:38:00+0300
3673478,Middle/Senior IOS Developer,"Swift
ООП
iOS
Git
Английский язык",1600.0,2400.0,USD,Омск,2020-10-06T12:39:53+0300
3673577,Middle/Senior iOS разработчик,"iOS
Objective-C
Swift
UI
Xcode
Cocoapods
Foundation
CoreData
CoreAnimation
Realm",1500.0,3000.0,USD,Минск,2020-10-06T13:04:08+0300
3674117,IOS Developer,"iOS
Git
Objective-C
Atlassian Jira
ООП
Swift",200000.0,250000.0,RUR,Москва,2020-10-06T14:55:34+0300
3674586,IOS developer,"Objective-C
Git
iOS
REST
Product Management",2000.0,3500.0,USD,Винница,2020-10-06T16:45:26+0300
3675175,IOS разработчик,"iOS
Swift
Objective-C
Git",60000.0,180000.0,RUR,Санкт-Петербург,2020-10-06T21:42:26+0300
3676536,IOS-разработчик в WorkinGeeks,"Design Patterns
ООП
Git
iOS
Swift
Xcode
Software Development",80000.0,180000.0,RUR,Москва,2020-10-07T13:42:24+0300
3676610,IOS разработчик,"Objective-C
Git
ООП
iOS
SWIFT Alliance
Adobe Photoshop",400000.0,600000.0,KZT,Алматы,2020-10-07T13:59:42+0300
3676986,IOS разработчик,"iOS
MVC
Креативность
Design Patterns
Swift
REST",70000.0,100000.0,RUR,Екатеринбург,2020-10-07T15:15:29+0300
3677366,IOS разработчик,"Objective-C
Git
iOS
ООП
Работа в команде",1500.0,3000.0,USD,Пинск,2020-10-07T16:43:44+0300
3679205,Разработчик мобильных приложений (iOS\Android) ReactNative,"ReactNative
React Native
iOS
Android
Git
SQL
ООП
JS ES6+",200000.0,250000.0,KZT,Алматы,2020-10-08T12:26:15+0300
3679808,Frontend/Mobile Developer(Android&IOS),"AngularJS
iOS
Objective-C
Android
Windows 7
мобильные приложения
PHP",4000000.0,7000000.0,UZS,Ташкент,2020-10-08T15:03:47+0300
3680057,IOS разработчик (Agile team),"iOS
swift",150000.0,200000.0,RUR,Санкт-Петербург,2020-10-08T16:18:23+0300
3680404,IOS разработчик,"Git
Objective-C
Java
iOS
Java SE
SWIFT Alliance
Rx
API
sdk",130000.0,150000.0,RUR,Москва,2020-10-08T17:59:04+0300
3681236,Senior iOS Developer (Remote),"iOS
Swift
Английский язык",3500.0,3800.0,USD,Москва,2020-10-09T10:50:55+0300
3683099,Pазработчик мобильных приложений под Android и iOS,"Android SDK
iOS",130000.0,170000.0,RUR,Кемерово,2020-10-10T16:33:10+0300
3684927,Swift iOS Developer,"iOS
Swift",60000.0,130000.0,RUR,Нижний Новгород,2020-10-12T12:52:27+0300
3684994,Senior iOS Developer,"iOS
Работа в команде
Swift
iOS SDK
SOLID
MVP
MVVM",170000.0,200000.0,RUR,Новосибирск,2020-10-12T13:07:15+0300
3685470,IOS разработчик,"Git
XML
SQL
ООП
iOS",90000.0,120000.0,RUR,Тюмень,2020-10-12T14:33:49+0300
3685682,Senior iOS Developer,"iOS
Английский язык
swift
Objective-C
Python
Django Framework
pure data
firebase",3000.0,3500.0,EUR,Москва,2020-10-12T15:23:43+0300
3685683,Senior iOS Developer,"iOS
Английский язык
swift
Objective-C
Python
Django Framework
pure data
firebase",3000.0,3500.0,EUR,Минск,2020-10-12T15:23:43+0300
3685684,Senior iOS Developer,"iOS
Английский язык
swift
Objective-C
Python
Django Framework
pure data
firebase",3000.0,3500.0,EUR,Санкт-Петербург,2020-10-12T15:23:43+0300
3685685,Senior iOS Developer,"iOS
Английский язык
swift
Objective-C
Python
Django Framework
pure data
firebase",3000.0,3500.0,EUR,Киев,2020-10-12T15:23:43+0300
3686717,IOS разработчик,"ООП
Mac Os
Pascal
Turbo Pascal
Умение работать в коллективе",1500.0,2000.0,USD,Баку,2020-10-12T20:12:27+0300
3687649,IOS разработчик,"ООП
Mac Os
Pascal
Turbo Pascal
Умение работать в коллективе",1500.0,2000.0,USD,Донецк (Украина),2020-10-13T11:07:43+0300
3687971,IOS разработчик,"Objective-C
Swift",250000.0,300000.0,RUR,Москва,2020-10-13T12:16:40+0300
3687975,IOS разработчик,iOS,2500.0,3500.0,EUR,Кипр,2020-10-13T12:18:57+0300
3687994,Middle iOS Developer,"Objective-C
iOS
MVC
Работа в команде
Mac Os",70000.0,130000.0,RUR,Ростов-на-Дону,2020-10-13T12:23:59+0300
3688769,IOS разработчик,"Design Patterns
XML
ООП
iOS
JSON API",100000.0,150000.0,RUR,Москва,2020-10-13T15:44:29+0300
3689133,IOs разработчик мобильных приложений на Swift (Senior/Middle),"iOS
SWIFT",130000.0,180000.0,RUR,Москва,2020-10-13T17:06:44+0300
3689624,IOS разработчик,"swift
iOS
REST
CocoaPods
Git
Unit Testing
MVP
ООП
Agile Project Management",130000.0,200000.0,RUR,Москва,2020-10-13T20:06:17+0300
3690059,Android/iOS Developer (React native),"Git
Atlassian Jira
Управление отношениями с клиентами
iOS
Android
React native
JavaScript
TypeScript",130000.0,150000.0,RUR,Санкт-Петербург,2020-10-14T08:29:06+0300
3690374,IOS разработчик,"Git
iOS
Objective-C
Работа в команде
Mac Os",100000.0,220000.0,RUR,Уфа,2020-10-14T10:01:36+0300
3690551,IOS Developer/Разработчик мобильных приложений,"Objective-C
iOS
Mac Os
SWIFT Alliance
Xcode
Google Firebase
middle",180000.0,280000.0,RUR,Москва,2020-10-14T10:34:35+0300
3690601,"Senior DevOps/разработчик Python, Java, C++, .NET, FrontEnd, Android/iOS","Python
Java
.NET Framework
Development
DevOps
C#
C++
Linux",3500.0,4400.0,USD,Швеция,2020-10-14T10:46:31+0300
3694211,Разработчик iOS приложений,"Objective-C
Git
iOS
ООП
Английский язык
Swift",80000.0,120000.0,RUR,Томск,2020-10-15T12:59:25+0300
3694289,Swift iOS распрацоўшчык/Swift iOS developer,"iOS
Swift
Xcode",1300.0,1800.0,USD,Минск,2020-10-15T13:13:29+0300
3695204,IOS developer,"iOS
Design Patterns
Git
ООП
Swift
Apple UI & UX Guidelines
REST API",50000.0,100000.0,RUR,Нижний Новгород,2020-10-15T16:45:40+0300
3697018,IOS developer (Swift & Objective-C),"iOS
Английский язык
Swift
Objective-C",100000.0,180000.0,RUR,Санкт-Петербург,2020-10-16T12:23:49+0300
3697402,IOS разработчик,"Objective-C
Git
iOS
Mac Os
Тестирование пользовательского интерфейса",2500.0,3500.0,EUR,Киев,2020-10-16T13:56:40+0300
3697746,IOS developer (middle),"ООП
Git
iOS
swift
coredata",100000.0,200000.0,RUR,Москва,2020-10-16T15:05:09+0300
3698600,IOS разработчик,"iOS
SWIFT Alliance
Objective-C
SQL
Mac Os",80000.0,120000.0,RUR,Екатеринбург,2020-10-17T12:08:03+0300
3700047,IOS разработчик,iOS,145000.0,170000.0,RUR,Рязань,2020-10-19T12:30:29+0300
3700525,IOS разработчик,"ООП
Mac Os
Pascal
Turbo Pascal
Умение работать в коллективе",2000.0,3000.0,USD,Киев,2020-10-19T14:23:39+0300
3702181,IOS Developer (Swift),"Swift
Objective-C
iOS
ООП
MVP
MVVM
SOLID
iOS SDK
Git",60000.0,120000.0,RUR,Новосибирск,2020-10-20T10:20:28+0300
3704124,IOS TeamLead,"Мобильность
Планирование карьеры
Kotlin
Mobile
Teamleading
Team management
Ориентация на результат
руководство командой разработчиков
Разработка технических заданий
Управление проектами
Swift
iOS
UI
UX
blockchain
Cryptocurrency",230000.0,270000.0,RUR,Петропавловск-Камчатский,2020-10-20T21:44:49+0300
